atom1_l1,atom2_l1,atom1_l2,atom2_l2,orientation,z
Ta,Se,Hf,Te,0,4.601603206412826
Ta,S,Mo,S,0,4.5034068136272545
Ta,S,Mo,Se,0,4.558396793587175
Ta,S,Mo,Te,0,4.640881763527054
Ta,Se,Mo,S,0,4.723366733466934
Ta,Se,Mo,Se,0,4.471983967935872
Ta,Se,Mo,Te,0,4.491623246492987
Ta,S,Nb,S,0,4.562324649298597
Ta,S,Nb,Se,0,4.664448897795592
Ta,S,Nb,Te,0,4.817635270541082
Ta,Se,Nb,S,0,4.507334669338678
Ta,Se,Nb,Se,0,4.743006012024049
Ta,Se,Nb,Te,0,4.228456913827656
Ta,S,Pd,Te,0,4.149899799599199
Ta,Se,Pd,Te,0,4.41306613226453
Ta,S,Pt,S,0,4.362004008016032
Ta,S,Pt,Se,0,3.8474549098196396
Ta,Se,Pt,S,0,4.452344689378758
Ta,Se,Pt,Se,0,4.471983967935872
Ta,S,Re,Se,0,4.574108216432866
Ta,Se,Re,Se,0,4.617314629258518
Ta,S,Ta,S,0,4.684088176352706
Ta,S,Ta,Se,0,4.680160320641283
Ta,Se,Ta,S,0,4.790140280561123
Ta,Se,Ta,Se,0,5.041523046092185
Ta,S,Ti,S,0,4.538757515030061
